company,year,e,v,e.,e..,s.,s..,i,r,p.,s,y
nvda,2012,3181,0.199436735,0.193621013,,0.241111283,-1,0.0296,0.001,0.015499,3,-0.194565395
nvda,2011,2665,0.222509085,0.112734864,,0.17981144,-1,0.015,0.0018,0.027089,4,0.241111283
nvda,2010,2395,0.209317649,,,-0.988802385,-0.452641822,0.0272,0.0016,-0.025999,3,0.17981144
nvda,2009,31015,0.20527296,,,2,-28,0.0009,0.0192,0.001222,3,-0.988802385
tsla,2021,23075,0.576315435,2,6,4,-16,0.0136,0.0036,-0.034046,260,2
tsla,2020,7467,0.192044221,0.297029703,2,-0.139851588,-0.980217948,0.0229,0.0216,0.022889,86,4
tsla,2019,5757,0.090579073,0.099713467,-3,0.009450951,-7,0.0191,0.0179,0.029189,18,-0.139851588
tsla,2018,5235,0.132724825,-0.054712893,-1,0.477753809,-2,0.0211,0.01,0.022557,21,0.009450951
tsla,2017,5538,0.101578942,4,21,-0.07370171,-0.947714102,0.0207,0.0039,0.016675,21,0.477753809
tsla,2016,1084,0.10591442,0.188596491,-0.486555675,0.061731358,-0.465708868,0.0073,0.0013,0.027064,14,-0.07370171
tsla,2015,912,0.174557394,0.367316342,-0.915286822,1,14,0.0076,0.0009,0.022878,15,0.061731358
tsla,2014,667,0.545037792,4,-11,2,0.560934348,0.015,0.0011,0.018419,14,1
tsla,2013,125,0.083376733,-0.441964286,,0.148660143,-1,0.0174,0.0014,0.022807,7,2
tsla,2012,224,0.109928076,0.082125604,,0.095237922,13,0.0296,0.001,0.015499,2,0.148660143
tsla,2011,207,0.166399442,,,-0.992084844,-1,0.015,0.0018,0.027089,2,0.095237922
tsla,2010,35581,0.057399616,,,-0.070629795,-0.166742655,0.0272,0.0016,-0.025999,2,-0.992084844
v,2022,37589,0.058240951,0.038083402,-0.134413678,0.150306482,-0.315191143,0.0704,0.0008,0.056711,207,-0.070629795
v,2021,36210,0.08015046,0.043997232,1,0.180384227,-0.200851349,0.0136,0.0036,-0.034046,223,0.150306482
v,2020,34684,0.100175261,0.019937658,-0.475796406,0.26340814,0.301539095,0.0229,0.0216,0.022889,193,0.180384227
v,2019,34006,0.087113121,0.038034188,-9,0.329610942,1,0.0191,0.0179,0.029189,164,0.26340814
v,2018,32760,0.096842699,-0.004618376,-1,0.253247055,-0.542344587,0.0211,0.01,0.022557,130,0.329610942
v,2017,32912,0.047764109,0.102875142,0.161019464,0.118900534,0.045517887,0.0207,0.0039,0.016675,98,0.253247055
v,2016,29842,0.061305421,0.088607595,3,0.259803622,-0.449663298,0.0073,0.0013,0.027064,78,0.118900534
v,2015,27413,0.07160284,0.020208411,-2,0.248492756,-0.107660035,0.0076,0.0009,0.022878,70,0.259803622
v,2014,26870,0.088257716,-0.027506334,-2,0.451528592,73,0.015,0.0011,0.018419,55,0.248492756
v,2013,27630,0.105566598,0.045126149,-0.206756507,0.506005122,-0.971040854,0.0174,0.0014,0.022807,44,0.451528592
v,2012,26437,0.09809402,0.056888143,,0.006809441,-1,0.0296,0.001,0.015499,30,0.506005122
v,2011,25014,0.094874992,0.078515069,,0.23513955,-2,0.015,0.0018,0.027089,20,0.006809441
v,2010,23193,0.152656306,,,-0.824919027,-7,0.0272,0.0016,-0.025999,20,0.23513955
v,2009,14604,0.226217187,,,1,0.371386314,0.0009,0.0192,0.001222,16,-0.824919027
nue,2021,11232,0.140280909,0.040867389,-0.292140734,-0.177214278,-3,0.0136,0.0036,-0.034046,93,1
nue,2020,10791,0.065404454,0.057733778,-0.530428496,-0.129222726,-0.576012039,0.0229,0.0216,0.022889,45,-0.177214278
nue,2019,10202,0.062206893,0.122949917,0.222833215,0.07484456,0.43309296,0.0191,0.0179,0.029189,55,-0.129222726
nue,2018,9085,0.048204363,0.100545124,0.948837592,0.176525202,-2,0.0211,0.01,0.022557,63,0.07484456
